location,area,bhk,bath,property_type,zone,construction_cost_psqft,architect_fee_lakhs,engineer_fee_lakhs,approval_fee_lakhs,utility_cost_lakhs,gst_lakhs,is_resale,price
Saket Nagar,843,1,1,flat,affordable,1676,0.22,0.19,0.21,0.2,0.14,1,24.3
Tejaji Nagar,1502,3,2,independent,affordable,1507,1.2,0.67,1.23,0.51,0.23,0,55.04
Tilak Nagar,1565,3,2,independent,classic,2026,1.13,0.56,2.21,0.86,1.59,1,59.3
Chandan Nagar,1925,3,2,independent,affordable,2151,2.61,0.82,1.23,0.53,0.41,1,75.2
Sanwer Road,1050,3,2,flat,affordable,1362,0.23,0.09,0.31,0.32,0.14,1,20.31
Super Corridor,1489,3,3,flat,elite,2991,0.73,0.5,1.11,0.61,2.23,1,72.48
Rau Pithampur Road,1152,2,2,flat,affordable,1626,0.32,0.1,0.23,0.26,0.19,1,27.1
Navlakha,1653,1,1,flat,premium,2015,1.0,0.19,0.33,0.33,1.67,0,71.58
Rau,2521,1,1,independent,classic,2065,3.03,1.28,2.32,1.18,2.6,0,123.56
Sudama Nagar,981,2,2,flat,classic,1642,0.34,0.1,0.76,0.29,0.81,0,41.82
Vijay Nagar,1400,4,3,flat,premium,2308,0.44,0.4,0.68,0.32,1.62,1,64.49
Super Corridor,4711,5,4,independent,elite,3832,11.05,2.82,3.1,1.1,9.03,1,418.5
Geeta Bhawan,1590,2,2,independent,classic,2487,2.52,0.7,2.35,0.9,1.98,1,91.2
Rau Pithampur Road,1285,1,1,flat,affordable,1745,0.57,0.22,0.24,0.38,0.22,0,34.08
Old Palasia,1400,4,4,flat,elite,3026,1.09,0.51,0.43,0.45,2.12,1,63.45
Sukhliya,2035,2,2,independent,classic,2357,2.19,1.05,2.17,0.62,2.4,0,130.06
MR 11,1771,2,2,flat,classic,2053,0.97,0.32,0.63,0.26,1.82,0,75.88
Tilak Nagar,1847,2,3,flat,classic,1915,0.63,0.34,0.6,0.48,1.77,0,70.53
South Tukoganj,3073,5,5,independent,elite,3815,4.37,3.44,2.82,1.34,5.86,1,298.22
Sanwer Road,902,2,2,independent,affordable,1712,0.64,0.36,1.08,0.68,0.15,1,34.61
Palhar Nagar,2041,3,2,independent,affordable,1641,2.06,0.64,1.45,0.45,0.33,0,85.47
Geeta Bhawan,1749,3,2,flat,classic,1646,0.57,0.24,0.36,0.24,1.44,0,63.59
Khajrana,1050,3,3,flat,affordable,1664,0.39,0.15,0.25,0.2,0.17,0,31.99
New Palasia,4659,5,5,independent,elite,3786,11.0,4.99,3.69,1.1,8.82,0,555.37
AB Bypass Road,1443,2,2,flat,premium,2063,0.62,0.17,0.45,0.42,1.49,1,67.13
Rajendra Nagar,2360,4,3,independent,premium,3258,3.26,1.91,2.55,1.18,3.84,0,162.74
Banganga,2178,3,2,independent,affordable,1975,2.4,0.86,1.78,0.84,0.43,1,80.13
Bhawarkuan,1344,2,2,independent,classic,2289,1.07,0.5,1.23,0.75,1.54,0,94.39
Geeta Bhawan,1842,2,3,independent,classic,2295,2.51,0.95,1.51,0.98,2.11,0,106.67
Bhawrasla,1437,3,2,flat,classic,1730,0.49,0.28,0.35,0.2,1.24,0,51.66
Rau Pithampur Road,1083,1,1,flat,affordable,1448,0.17,0.11,0.56,0.32,0.16,0,34.7
Scheme 54,1564,2,2,flat,classic,1743,0.34,0.2,0.7,0.39,1.36,0,53.73
Tejaji Nagar,1008,2,3,flat,affordable,1422,0.23,0.08,0.26,0.36,0.14,0,23.64
Musakhedi,939,1,1,flat,affordable,1232,0.17,0.15,0.45,0.21,0.12,0,22.6
Palhar Nagar,895,2,3,flat,affordable,1617,0.32,0.08,0.53,0.2,0.14,1,22.5
Banganga,856,2,2,flat,affordable,1558,0.23,0.13,0.56,0.2,0.13,0,26.45
MG Road,1400,4,4,independent,premium,2674,1.6,0.99,3.06,1.11,1.87,0,103.12
Rau Pithampur Road,1046,2,2,flat,affordable,1239,0.34,0.13,0.38,0.21,0.13,0,32.16
Ring Road,1400,4,3,flat,classic,2130,0.56,0.25,0.26,0.44,1.49,0,56.49
MR 11,1746,4,3,flat,classic,1546,0.3,0.24,0.36,0.48,1.35,0,73.52
Ring Road,1778,2,3,flat,classic,1565,0.65,0.27,0.49,0.46,1.39,1,52.66
Old Palasia,4334,5,5,independent,elite,2927,4.57,2.08,3.36,1.88,6.34,0,442.21
Annapurna Road,1045,2,2,flat,classic,2047,0.32,0.24,0.78,0.5,1.07,0,47.5
MR 11,1272,2,3,independent,classic,2867,1.48,0.92,1.14,1.15,1.82,0,67.34
Mahalaxmi Nagar,1400,4,3,flat,premium,1873,0.55,0.37,0.5,0.36,1.31,1,48.38
Nipania,2849,3,2,independent,elite,3544,5.87,1.84,2.17,1.01,5.05,0,291.25
Geeta Bhawan,642,1,1,flat,classic,1787,0.17,0.09,0.57,0.31,0.57,0,22.79
Lasuriya Mori,1050,3,2,flat,classic,2230,0.53,0.22,0.65,0.3,1.17,0,31.72
Super Corridor,1646,2,2,flat,elite,3185,1.4,0.33,1.14,0.73,2.62,0,80.86
Scheme 78,741,2,3,flat,affordable,1318,0.2,0.13,0.29,0.33,0.1,0,22.37
Scheme 136,1780,4,3,independent,premium,3175,2.17,1.23,1.64,1.57,2.83,0,138.69
Bijalpur,1069,2,3,independent,classic,1933,1.19,0.48,2.41,1.14,1.03,0,76.75
Khajrana,1687,2,2,independent,affordable,1736,1.47,0.78,1.18,0.51,0.29,1,77.15
Banganga,700,2,3,flat,affordable,1841,0.16,0.19,0.5,0.24,0.13,0,19.81
AB Road,2143,2,2,flat,premium,1995,0.91,0.22,0.66,0.39,2.14,0,88.64
Tilak Nagar,1726,3,2,flat,classic,2279,0.84,0.55,0.72,0.3,1.97,0,58.9
Banganga,1518,2,3,independent,affordable,2282,1.95,0.85,0.82,0.69,0.35,1,60.68
Pipliyahana,1676,3,2,flat,classic,1904,0.66,0.17,0.39,0.29,1.6,0,66.45
Banganga,1544,1,1,flat,affordable,1512,0.53,0.27,0.43,0.22,0.23,0,41.67
Bengali Square,2250,3,2,flat,premium,2059,1.24,0.28,0.89,0.3,2.32,1,110.62
Old Palasia,2446,3,2,flat,elite,2710,1.76,0.52,1.15,0.74,3.31,1,128.46
Nihalpur Mundi,2376,2,2,independent,classic,2158,3.46,0.78,1.59,1.07,2.56,1,125.62
Ring Road,1398,2,2,independent,classic,2560,2.02,0.92,2.49,0.83,1.79,0,76.8
Manglia,700,2,2,flat,affordable,1523,0.16,0.11,0.41,0.34,0.11,0,17.42
Nipania,2716,3,2,independent,elite,2909,4.67,1.83,3.02,1.91,3.95,1,226.55
Rau Pithampur Road,1050,3,2,flat,affordable,1358,0.3,0.08,0.23,0.29,0.14,0,30.87
New Palasia,997,2,3,flat,elite,2871,0.43,0.34,0.64,0.66,1.43,0,67.9
Scheme 103,833,2,2,flat,classic,2097,0.18,0.19,0.64,0.46,0.87,0,35.63
Nipania,1882,3,3,flat,elite,3028,0.88,0.83,0.77,0.72,2.85,1,93.87
Lasuriya Mori,829,1,1,flat,classic,2062,0.19,0.15,0.44,0.45,0.85,0,27.63
Rajendra Nagar,1924,4,3,independent,premium,2917,2.82,0.97,1.53,0.9,2.81,1,106.41
New Palasia,3270,3,2,flat,elite,3148,1.95,1.33,0.91,0.64,5.15,1,147.93
Annapurna Road,858,2,3,flat,classic,2228,0.35,0.2,0.4,0.29,0.96,1,27.55
Bijalpur,1585,2,2,flat,classic,2180,0.84,0.27,0.53,0.25,1.73,0,65.91
Chandan Nagar,989,2,2,flat,affordable,1248,0.18,0.18,0.43,0.26,0.12,1,24.47
Banganga,875,1,1,flat,affordable,1370,0.13,0.1,0.23,0.29,0.12,0,26.06
Khandwa Road,1858,2,2,flat,classic,2201,1.09,0.23,0.73,0.23,2.04,0,69.13
Sapna Sangeeta Road,3293,3,2,independent,elite,3502,4.08,2.5,3.02,1.96,5.77,0,314.4
Tilak Nagar,1261,2,2,flat,classic,1997,0.28,0.28,0.46,0.42,1.26,0,48.16
Rau Pithampur Road,2121,2,2,independent,affordable,1960,1.85,0.9,0.82,0.82,0.42,0,99.77
Sukhliya,1567,1,1,flat,classic,1851,0.66,0.29,0.77,0.36,1.45,1,57.15
MR 10,2082,4,3,independent,premium,2494,2.62,1.22,2.39,1.39,2.6,0,189.5
Old Palasia,1277,3,2,flat,elite,2307,0.63,0.22,1.17,0.54,1.47,0,85.57
Janki Nagar,3375,4,3,independent,premium,3138,3.19,2.59,2.59,1.23,5.29,0,269.3
Scheme 136,3563,4,4,independent,premium,3250,5.5,3.42,3.4,1.42,5.79,0,260.3
Bicholi Mardana,2106,4,3,independent,premium,3145,2.2,1.04,2.29,1.16,3.31,0,146.62
Limbodi,793,2,3,flat,affordable,1579,0.17,0.06,0.34,0.24,0.13,0,25.21
Lasuriya Mori,1050,3,3,flat,classic,1871,0.37,0.27,0.28,0.46,0.98,0,41.03
Aerodrome Road,1077,3,2,flat,classic,1719,0.49,0.12,0.25,0.49,0.93,0,46.21
Nipania,4269,4,3,independent,elite,3232,5.57,3.01,1.89,1.28,6.9,0,367.79
Bengali Square,2383,5,4,independent,premium,2938,3.95,1.17,2.52,1.03,3.5,0,214.86
Scheme 78,1351,3,2,flat,affordable,1536,0.25,0.29,0.24,0.3,0.21,0,39.64
Rau,1622,2,2,independent,classic,2552,1.72,1.23,1.68,0.67,2.07,0,79.72
Bengali Square,3488,5,4,independent,premium,2625,6.41,2.05,3.0,0.8,4.58,0,331.95
Scheme 78,2085,2,3,independent,affordable,2172,2.73,1.27,1.75,0.62,0.45,0,105.55
Scheme 140,3306,3,2,flat,elite,2906,2.16,1.43,0.65,0.47,4.8,1,177.15
Rajendra Nagar,1050,3,3,flat,premium,2409,0.33,0.27,0.48,0.33,1.26,1,39.58
Manglia,1851,1,1,independent,affordable,1648,1.53,0.62,0.99,0.89,0.31,0,76.47
Scheme 71,1808,2,3,flat,classic,1582,0.6,0.23,0.61,0.3,1.43,0,63.47
AB Road,1926,2,2,flat,premium,2456,1.28,0.32,0.49,0.35,2.37,1,85.26
Piplya Kumar,1482,2,2,flat,classic,2169,0.61,0.35,0.54,0.48,1.61,0,65.38
Rau,1476,2,3,flat,classic,2131,0.53,0.24,0.73,0.36,1.57,1,48.84
Sudama Nagar,1050,3,2,independent,classic,2106,1.15,0.37,1.43,0.72,1.11,0,59.88
Scheme 136,2498,3,2,independent,premium,3316,3.57,2.12,2.79,1.45,4.14,1,191.77
Nihalpur Mundi,1288,3,3,flat,classic,1687,0.63,0.19,0.77,0.28,1.09,1,31.89
South Tukoganj,1135,3,2,flat,elite,2704,0.35,0.22,1.15,0.53,1.53,0,62.82
Scheme 54,962,1,1,flat,classic,2211,0.35,0.12,0.61,0.41,1.06,0,36.77
New Palasia,1562,3,3,independent,elite,3626,2.25,1.62,4.06,1.71,2.83,0,120.51
Rajendra Nagar,2296,2,2,flat,premium,2226,1.16,0.74,0.37,0.36,2.56,0,118.44
Kanadia Road,2395,3,3,independent,classic,2152,3.57,1.01,1.49,1.19,2.58,1,121.63
Rau,1050,3,2,independent,classic,1935,1.25,0.57,2.03,0.76,1.02,1,53.08
Musakhedi,1598,2,2,flat,affordable,1797,0.83,0.4,0.57,0.15,0.29,0,38.74
Scheme 103,1282,2,2,independent,classic,1990,1.69,0.53,1.52,0.72,1.28,0,66.86
MR 10,1835,3,2,flat,premium,2493,1.36,0.47,0.85,0.54,2.29,0,99.85
Palasia Square,2628,2,2,independent,classic,2030,2.45,1.59,2.48,0.96,2.67,0,190.47
Limbodi,700,2,2,flat,affordable,1268,0.19,0.1,0.43,0.2,0.09,1,20.51
Sukhliya,1530,2,2,independent,classic,2786,2.39,1.25,2.2,1.06,2.13,0,85.2
Pipliyahana,869,2,2,flat,classic,1568,0.23,0.2,0.69,0.47,0.68,0,37.08
Nihalpur Mundi,1896,3,3,flat,classic,1639,0.52,0.24,0.71,0.26,1.55,0,61.09
Ring Road,1210,2,2,independent,classic,2375,1.89,0.71,1.75,0.68,1.44,1,56.82
Sapna Sangeeta Road,1779,2,3,flat,elite,2547,0.81,0.35,0.56,0.54,2.27,1,85.69
Gandhi Nagar,598,1,1,flat,affordable,1857,0.24,0.17,0.43,0.31,0.11,0,17.87
Chandan Nagar,1050,3,2,flat,affordable,1762,0.28,0.26,0.6,0.22,0.19,0,34.42
Old Palasia,1554,3,2,flat,elite,3131,1.16,0.57,0.57,0.63,2.43,0,83.45
Manglia,700,2,3,flat,affordable,1671,0.21,0.15,0.49,0.29,0.12,0,20.39
Palhar Nagar,2162,2,3,independent,affordable,2101,2.36,1.31,0.74,0.64,0.45,1,81.48
Khandwa Road,2208,3,2,independent,classic,2024,3.03,0.9,2.07,0.91,2.23,1,128.28
Talawali Chanda,1400,4,4,flat,classic,1794,0.74,0.34,0.27,0.37,1.26,1,46.48
Sapna Sangeeta Road,1772,2,2,flat,elite,3160,1.14,0.83,1.01,0.38,2.8,0,122.92
Scheme 78,2396,2,3,independent,affordable,1867,2.78,1.08,1.61,0.53,0.45,0,98.15
Rangwasa,879,2,2,independent,affordable,1776,0.81,0.28,0.86,0.87,0.16,0,36.54
Bicholi Mardana,798,2,2,flat,premium,2291,0.28,0.1,0.32,0.34,0.91,0,41.26
Khandwa Road,1187,3,3,flat,classic,1862,0.24,0.17,0.37,0.46,1.11,0,44.85
Palhar Nagar,1253,1,2,independent,affordable,2061,0.88,0.65,1.19,0.75,0.26,0,56.02
Nipania,4691,3,2,independent,elite,3458,8.34,3.3,4.21,1.13,8.11,0,346.75
Banganga,2029,1,1,independent,affordable,1524,1.55,0.5,0.97,0.76,0.31,0,95.32
MG Road,1992,4,3,flat,premium,1954,0.47,0.55,0.87,0.52,1.95,1,103.44
MG Road,1904,4,4,independent,premium,2807,3.23,0.92,1.32,0.82,2.67,0,190.94
Lasuriya Mori,1491,3,2,flat,classic,2280,1.0,0.29,0.8,0.34,1.7,0,62.0
Manglia,971,1,1,independent,affordable,1756,0.77,0.28,1.32,0.59,0.17,1,31.76
Scheme 78,1228,3,2,flat,affordable,1631,0.38,0.17,0.37,0.23,0.2,0,43.61
Agrawal Nagar,1789,4,3,independent,classic,2307,1.55,0.83,1.04,0.68,2.06,0,101.25
Chandan Nagar,1127,2,2,flat,affordable,1586,0.49,0.19,0.44,0.26,0.18,1,35.53
Rajendra Nagar,1756,4,3,independent,premium,2819,3.4,1.25,3.04,1.03,2.48,1,122.78
Rajendra Nagar,2118,4,3,independent,premium,2795,3.4,1.26,2.73,1.05,2.96,0,187.47
Lasuriya Mori,2270,2,2,independent,classic,2560,2.37,1.08,1.38,1.15,2.91,0,110.96
South Tukoganj,2419,3,2,flat,elite,2285,1.16,0.49,0.89,0.49,2.76,1,120.17
Scheme 71,1633,3,2,independent,classic,1937,1.25,0.84,1.91,0.72,1.58,1,87.53
Sudama Nagar,1997,3,2,flat,classic,1886,0.98,0.49,0.76,0.23,1.88,1,81.78
Old Palasia,4492,4,4,independent,elite,3550,7.22,2.88,2.13,1.62,7.97,0,497.79
Jetpura,1179,2,2,independent,affordable,1609,1.08,0.5,1.27,0.44,0.19,1,54.24
Geeta Bhawan,1152,3,2,flat,classic,1764,0.46,0.21,0.55,0.44,1.02,1,39.44
Sanwer Road,1050,3,3,independent,affordable,1738,0.92,0.36,1.69,0.88,0.18,0,43.06
Annapurna Road,1061,2,2,flat,classic,1727,0.52,0.17,0.57,0.34,0.92,0,36.28
Khandwa Road,1363,2,2,independent,classic,2606,1.08,0.91,1.61,1.18,1.78,1,81.52
Agrawal Nagar,700,2,2,flat,classic,2263,0.2,0.19,0.36,0.27,0.79,0,25.82
Old Palasia,4229,4,3,independent,elite,3422,6.07,4.21,2.5,1.43,7.24,0,398.41
Piplya Kumar,1166,2,3,flat,classic,1852,0.49,0.21,0.73,0.36,1.08,0,52.7
Nipania,2485,2,2,flat,elite,2526,0.9,0.76,1.05,0.47,3.14,1,156.38
Kanadia Road,2108,3,2,independent,classic,1907,2.68,0.85,1.7,1.11,2.01,0,98.44
Sapna Sangeeta Road,1817,4,3,independent,elite,3927,3.96,1.42,2.53,1.19,3.57,0,155.19
Kanadia Road,1050,3,3,flat,classic,2062,0.28,0.24,0.69,0.38,1.08,0,37.34
Geeta Bhawan,1727,2,2,independent,classic,2369,2.86,0.71,2.42,1.09,2.05,0,92.43
Rau,2878,1,1,independent,classic,2721,4.34,1.44,1.63,1.08,3.92,0,129.59
Jetpura,1032,2,2,flat,affordable,1231,0.36,0.13,0.27,0.26,0.13,0,33.36
Janki Nagar,2452,2,2,flat,premium,1852,0.94,0.64,0.79,0.53,2.27,0,112.6
Bicholi Hapsi,2639,3,2,independent,classic,1986,2.71,1.46,1.03,1.16,2.62,0,166.3
Tilak Nagar,2324,2,2,independent,classic,2362,3.52,1.21,1.99,0.61,2.74,1,133.06
Lasuriya Mori,2701,2,2,independent,classic,2862,3.11,2.13,1.91,1.19,3.87,0,170.01
Limbodi,1189,3,2,flat,affordable,1651,0.4,0.14,0.56,0.39,0.2,1,28.45
Rau Pithampur Road,1050,3,2,flat,affordable,1634,0.49,0.09,0.29,0.21,0.17,0,30.81
Dewas Naka,1906,2,3,independent,classic,2293,2.59,1.26,1.38,0.81,2.19,1,89.46
Scheme 71,1400,4,3,flat,classic,2196,0.42,0.25,0.55,0.39,1.54,0,51.08
Bhawrasla,1535,2,2,flat,classic,1680,0.57,0.29,0.65,0.39,1.29,0,60.9
Agrawal Nagar,2354,4,3,independent,classic,2601,3.57,0.94,1.96,0.62,3.06,0,129.82
Banganga,2298,2,3,independent,affordable,2212,3.09,1.01,1.22,0.73,0.51,0,87.13
Bhawarkuan,1394,2,2,flat,classic,2197,0.47,0.18,0.61,0.4,1.53,1,42.27
AB Bypass Road,2811,4,3,independent,premium,2930,4.79,1.56,3.37,1.22,4.12,0,235.13
Agrawal Nagar,1244,3,2,flat,classic,2234,0.29,0.19,0.48,0.41,1.39,0,47.44
New Palasia,2032,5,4,independent,elite,3573,4.56,1.45,3.78,1.53,3.63,0,224.33
Old Palasia,1621,2,2,independent,elite,3816,4.13,1.16,3.84,1.46,3.09,0,180.25
Silicon City,1514,2,2,flat,affordable,1343,0.4,0.19,0.43,0.34,0.2,0,37.0
Khajrana,700,2,2,flat,affordable,1530,0.27,0.08,0.57,0.37,0.11,1,16.14
MR 11,1432,1,1,flat,classic,1650,0.57,0.25,0.27,0.39,1.18,0,51.66
Rau,1939,2,3,flat,classic,1602,0.81,0.33,0.75,0.35,1.55,0,72.5
Vijay Nagar,947,2,2,flat,premium,2277,0.57,0.19,0.39,0.32,1.08,1,36.03
Musakhedi,1114,2,2,independent,affordable,1775,0.68,0.38,1.14,0.74,0.2,0,52.9
Tejaji Nagar,861,2,3,independent,affordable,1979,1.04,0.32,1.52,0.68,0.17,0,44.41
Scheme 103,1772,3,3,flat,classic,1591,0.63,0.2,0.62,0.45,1.41,1,53.02
Sudama Nagar,1050,3,2,flat,classic,1983,0.62,0.16,0.28,0.21,1.04,0,45.7
Rangwasa,2233,1,1,independent,affordable,1852,2.3,0.94,0.9,0.81,0.41,0,84.19
Scheme 54,1715,3,3,flat,classic,2087,0.62,0.25,0.43,0.37,1.79,0,62.35
Tilak Nagar,971,1,1,independent,classic,2373,1.36,0.56,2.09,1.08,1.15,0,48.36
South Tukoganj,1267,2,2,flat,elite,2395,0.72,0.25,1.19,0.46,1.52,0,73.79
Annapurna Road,1278,2,2,flat,classic,1838,0.45,0.34,0.51,0.42,1.17,0,43.77
AB Road,2296,2,2,independent,premium,2876,2.3,1.91,2.3,1.39,3.3,0,168.26
Scheme 71,956,2,3,flat,classic,2170,0.43,0.26,0.68,0.35,1.04,0,36.94
Dewas Naka,1617,3,2,flat,classic,1884,0.89,0.23,0.65,0.43,1.52,1,50.28
Bijalpur,1050,3,2,flat,classic,1909,0.29,0.2,0.33,0.33,1.0,0,36.15
Rau Pithampur Road,1068,2,2,flat,affordable,1611,0.2,0.11,0.46,0.27,0.17,0,28.97
Saket Nagar,1186,2,2,flat,affordable,1255,0.43,0.09,0.51,0.28,0.15,1,31.47
New Palasia,2703,3,3,flat,elite,3058,2.34,0.77,0.66,0.59,4.13,0,182.98
MR 11,1793,3,2,flat,classic,2032,1.04,0.23,0.79,0.21,1.82,0,79.75
Bicholi Mardana,1782,4,3,independent,premium,3094,2.8,1.07,2.23,1.04,2.76,1,94.26
MR 11,1855,3,3,flat,classic,1856,0.53,0.48,0.3,0.32,1.72,0,65.44
Scheme 140,3100,4,3,flat,elite,3035,2.69,0.81,0.65,0.67,4.7,0,205.22
Dewas Naka,1050,3,2,flat,classic,2247,0.59,0.17,0.43,0.21,1.18,0,45.88
Bhawarkuan,1753,3,3,flat,classic,1646,0.84,0.39,0.46,0.39,1.44,0,59.39
Ring Road,1294,3,2,flat,classic,2287,0.86,0.36,0.73,0.42,1.48,0,55.05
Annapurna Road,1400,4,3,flat,classic,1503,0.58,0.17,0.48,0.33,1.05,0,50.48
Sanwer Road,1317,3,2,independent,affordable,1741,1.4,0.6,1.75,0.65,0.23,0,58.46
MR 11,1298,3,2,flat,classic,2204,0.76,0.17,0.36,0.24,1.43,0,54.47
Rau,1612,3,3,flat,classic,1783,0.65,0.4,0.69,0.31,1.44,1,52.31
Lasuriya Mori,2136,3,2,independent,classic,1909,1.6,0.87,1.18,0.66,2.04,0,113.02
Super Corridor,1746,3,2,flat,elite,2350,0.6,0.5,0.98,0.62,2.05,0,115.24
Piplya Kumar,1229,2,2,independent,classic,2879,1.25,0.59,1.62,1.18,1.77,0,86.84
Nipania,1617,4,4,independent,elite,3893,3.96,1.84,3.76,1.61,3.15,0,140.69
Manglia,1382,2,3,flat,affordable,1686,0.5,0.29,0.23,0.39,0.23,1,30.19
Chandan Nagar,1127,1,1,flat,affordable,1581,0.28,0.2,0.44,0.36,0.18,1,26.74
Old Palasia,3244,5,5,independent,elite,3071,5.79,1.57,3.11,1.6,4.98,0,268.67
Piplya Kumar,1237,2,2,independent,classic,2866,1.58,0.56,2.35,0.62,1.77,0,83.0
Banganga,1050,3,3,flat,affordable,1836,0.39,0.16,0.53,0.16,0.19,1,22.57
Agrawal Nagar,755,1,2,flat,classic,1644,0.28,0.09,0.55,0.37,0.62,1,27.85
Vijay Nagar,1231,3,2,flat,premium,2140,0.47,0.32,0.68,0.58,1.32,1,48.95
Palhar Nagar,1050,3,2,independent,affordable,1901,1.08,0.5,1.8,0.74,0.2,0,43.88
Bicholi Hapsi,1573,4,3,flat,classic,1849,0.75,0.15,0.72,0.32,1.45,1,46.73
Talawali Chanda,1050,3,2,flat,classic,1574,0.28,0.13,0.53,0.49,0.83,1,31.54
Bijalpur,1474,3,2,flat,classic,1723,0.39,0.34,0.33,0.39,1.27,0,71.53
Old Palasia,2091,3,2,flat,elite,2700,1.18,0.82,1.08,0.76,2.82,0,136.12
Khandwa Road,2880,1,2,independent,classic,2518,2.57,1.13,2.2,1.03,3.63,0,137.59
Talawali Chanda,1007,2,3,independent,classic,2797,1.87,0.45,1.78,0.69,1.41,0,48.97
Sapna Sangeeta Road,1500,4,3,independent,elite,3934,3.41,1.32,4.32,1.44,2.95,0,120.66
Sapna Sangeeta Road,1256,3,2,flat,elite,2446,0.55,0.43,0.4,0.75,1.54,1,68.8
Chandan Nagar,1133,1,1,flat,affordable,1826,0.49,0.26,0.36,0.3,0.21,0,30.62
Geeta Bhawan,1494,3,2,flat,classic,2026,0.89,0.38,0.29,0.25,1.51,0,60.44
Scheme 78,2315,1,1,independent,affordable,1972,1.67,1.11,1.18,0.8,0.46,0,103.05
Nipania,3092,4,3,independent,elite,2922,3.26,1.69,2.23,1.19,4.52,1,218.9
Sukhliya,2343,2,2,independent,classic,2076,1.99,1.4,1.66,1.16,2.43,0,157.78
Musakhedi,1373,1,1,independent,affordable,2294,1.1,0.55,1.23,0.87,0.32,0,51.21
Saket Nagar,1976,2,2,independent,affordable,2277,1.58,0.84,0.73,0.89,0.45,1,91.02
MR 10,1564,4,3,flat,premium,2306,0.57,0.41,0.5,0.35,1.8,0,91.38
Khajrana,1212,2,3,flat,affordable,1607,0.53,0.27,0.39,0.21,0.19,0,35.53
Gandhi Nagar,807,2,2,independent,affordable,1770,0.57,0.34,1.22,0.6,0.14,0,38.95
Geeta Bhawan,1941,3,2,independent,classic,2279,2.71,1.17,2.2,1.17,2.21,0,116.7
Kanadia Road,1580,2,2,flat,classic,2261,0.95,0.25,0.43,0.35,1.79,0,61.85
Scheme 54,1400,4,3,flat,classic,1505,0.63,0.31,0.8,0.34,1.05,0,64.44
Lasuriya Mori,770,2,3,flat,classic,1873,0.43,0.12,0.65,0.36,0.72,0,23.22
Limbodi,1213,3,2,independent,affordable,2111,1.4,0.65,1.05,0.85,0.26,0,47.9
Navlakha,1970,2,2,flat,premium,2513,0.98,0.54,0.37,0.38,2.48,0,80.15
Sapna Sangeeta Road,3259,2,3,flat,elite,2914,2.39,0.57,0.81,0.55,4.75,0,186.26
Jetpura,1227,2,2,independent,affordable,1599,1.26,0.33,0.85,0.52,0.2,0,53.26
Bhawrasla,778,2,2,flat,classic,1829,0.19,0.21,0.54,0.46,0.71,0,32.89
Scheme 140,2846,3,3,flat,elite,2602,2.05,1.03,1.13,0.46,3.7,0,159.33
Scheme 78,846,2,2,flat,affordable,1811,0.41,0.2,0.36,0.36,0.15,0,24.79
Sapna Sangeeta Road,2471,3,3,independent,elite,3289,3.96,1.25,2.37,1.28,4.06,0,225.81
Jetpura,1258,2,2,flat,affordable,1348,0.22,0.14,0.39,0.28,0.17,0,41.18
Bijalpur,863,1,2,independent,classic,1963,0.91,0.42,1.55,1.13,0.85,0,62.05
Sneh Nagar,2868,2,3,independent,classic,2549,4.27,1.8,2.16,0.82,3.65,1,134.78
Janki Nagar,1441,2,2,flat,premium,2076,0.35,0.29,0.81,0.45,1.5,1,51.43
South Tukoganj,3009,4,3,flat,elite,2741,1.82,0.59,0.9,0.59,4.12,1,181.32
Saket Nagar,1593,3,2,flat,affordable,1867,0.68,0.16,0.33,0.27,0.3,0,49.14
Bicholi Mardana,2092,2,3,flat,premium,1924,0.55,0.35,0.6,0.47,2.01,1,79.85
AB Bypass Road,1945,2,2,flat,premium,1834,1.0,0.35,0.62,0.45,1.78,1,83.71
Musakhedi,1935,3,3,independent,affordable,1601,2.11,0.91,1.77,0.55,0.31,1,71.89
Scheme 136,1203,2,2,flat,premium,2299,0.63,0.34,0.5,0.36,1.38,0,59.11
Kanadia Road,1368,1,2,independent,classic,2336,1.11,0.68,2.26,0.97,1.6,0,58.83
Scheme 136,1281,2,3,flat,premium,2107,0.39,0.22,0.98,0.5,1.35,0,50.77
Silicon City,1586,2,2,flat,affordable,1269,0.28,0.14,0.41,0.2,0.2,0,50.99
Rajendra Nagar,3524,3,2,independent,premium,2793,4.48,1.9,1.89,1.49,4.92,1,210.23
Palasia Square,876,1,1,independent,classic,1950,0.68,0.45,1.56,0.88,0.85,0,57.66
Rajendra Nagar,1588,2,2,flat,premium,2088,0.41,0.36,0.67,0.32,1.66,0,75.8
Palasia Square,2284,2,3,independent,classic,2894,2.68,1.62,1.57,0.93,3.31,0,154.53
Lasuriya Mori,2115,4,3,independent,classic,2311,1.7,0.86,1.67,0.8,2.44,0,109.67
Nipania,4548,4,3,independent,elite,3444,10.49,2.9,3.85,1.53,7.83,0,488.75
Super Corridor,3020,3,2,flat,elite,2511,1.94,0.59,0.58,0.41,3.79,0,150.83
Scheme 140,4036,3,3,independent,elite,3358,6.12,2.68,2.57,1.09,6.78,0,282.99
Rajendra Nagar,1400,4,3,flat,premium,2452,0.68,0.22,0.92,0.48,1.72,1,44.2
Piplya Kumar,2178,1,2,independent,classic,2144,3.09,0.77,1.98,1.07,2.34,0,143.83
